IMU: 4, Sys: 0, Gyro: 0, Acc: 1, Mag: 3, Time: 261849, W: 0.4412, X: -0.2540, Y: 0.6752, Z: 0.5338
IMU: 5, Sys: 3, Gyro: 3, Acc: 0, Mag: 3, Time: 261849, W: 0.6014, X: -0.3918, Y: 0.6165, Z: 0.3237
IMU: 6, Sys: 3, Gyro: 0, Acc: 1, Mag: 3, Time: 261849, W: -0.3047, X: -0.3443, Y: -0.6105, Z: 0.6449
IMU: 7, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 261849, W: 0.7568, X: 0.3455, Y: 0.5547, Z: -0.0111
IMU: 8, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 261849, W: 0.6869, X: 0.0370, Y: 0.6265, Z: -0.3665
IMU: 9, Sys: 3, Gyro: 0, Acc: 1, Mag: 3, Time: 261849, W: 0.7484, X: 0.3262, Y: 0.5616, Z: -0.1344
IMU: 0, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 261958, W: 0.5906, X: -0.3052, Y: 0.5732, Z: 0.4790
IMU: 1, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 261958, W: 0.7111, X: -0.2224, Y: 0.5600, Z: 0.3624
IMU: 2, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 261958, W: -0.5753, X: -0.2990, Y: -0.5421, Z: 0.5347
IMU: 3, Sys: 3, Gyro: 0, Acc: 1, Mag: 3, Time: 261958, W: -0.7158, X: -0.4260, Y: -0.3284, Z: 0.4454
IMU: 4, Sys: 0, Gyro: 0, Acc: 1, Mag: 3, Time: 261958, W: 0.4418, X: -0.2528, Y: 0.6752, Z: 0.5339
IMU: 5, Sys: 3, Gyro: 3, Acc: 0, Mag: 3, Time: 261958, W: 0.6017, X: -0.3913, Y: 0.6163, Z: 0.3240
IMU: 6, Sys: 3, Gyro: 0, Acc: 1, Mag: 3, Time: 261958, W: -0.3024, X: -0.3470, Y: -0.6095, Z: 0.6455
IMU: 7, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 261958, W: 0.7563, X: 0.3467, Y: 0.5546, Z: -0.0121
IMU: 8, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 261958, W: 0.6863, X: 0.0369, Y: 0.6247, Z: -0.3707
IMU: 9, Sys: 3, Gyro: 0, Acc: 1, Mag: 3, Time: 261958, W: 0.7460, X: 0.3236, Y: 0.5661, Z: -0.1354
IMU: 0, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 262068, W: 0.5920, X: -0.3005, Y: 0.5746, Z: 0.4786
